,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
14,Sistema,Sistema,8348228.99,8061934.19,7880968.35,7796210.24,7937988.79,8170329.29,8478293.42,9299798.97,9858444.19,10238244.19,10632792.5,11039693.79,11118304.68,11028139.46,11178514.64,11166555.12,11163677.6,10981153.23,11449433.35,11468395.02,11288264.62,10831946.09,10254918.95,9655335.1,2023-12-11
15,Sistema,Sistema,9069444.69,8679882.22,8309464.7,8165214.07,8286563.73,8535502.04,8827950.33,9642422.35,10151631.06,10434303.16,10670899.36,10962034.26,10993955.81,11056285.33,11246203.52,11314480.25,11211752.65,10975494.84,11608610.76,11605536.77,11368011.91,10932607.07,10334436.86,9712791.54,2023-12-12
16,Sistema,Sistema,8914455.41,8609394.63,8301747.49,8153876.84,8238705.51,8492929.89,8788788.99,9497705.81,10146410.58,10444100.7,10678337.09,10983847.48,11046810.83,11159199.36,11503264.56,11446722.07,11232988.65,11030355.47,11541274.62,11495859.0,11159991.16,10748539.22,10178561.78,9641779.44,2023-12-13
17,Sistema,Sistema,8974070.99,8693941.95,8418381.87,8310259.31,8392870.61,8636879.76,8921246.26,9620058.9,10193819.75,10578961.87,10854736.04,11005411.11,11005424.94,11102968.26,11271985.4,11341110.39,11230935.38,11054666.4,11571735.94,11468896.96,11192397.74,10705143.66,10052036.63,9511352.01,2023-12-14
18,Sistema,Sistema,8897539.24,8593886.34,8437068.59,8279252.04,8370023.08,8598123.9,8850906.54,9519564.49,10041671.04,10267417.45,10504870.9,10745171.67,10719093.48,10680459.95,10980913.54,10989428.78,10798971.75,10669208.32,11170151.9,11071915.2,10797643.01,10408249.28,9878832.02,9387841.26,2023-12-15
19,Sistema,Sistema,8863827.89,8527298.87,8260483.56,8076868.14,8126552.06,8247454.5,8313812.12,8820993.41,9581781.96,9836329.23,10068271.81,10302104.96,10285256.83,10195077.14,10119931.57,9943787.83,9773429.64,10079933.26,10624882.69,10541726.54,10287996.57,9888634.05,9454017.87,8887078.56,2023-12-16
20,Sistema,Sistema,8178793.44,7862114.17,7645402.92,7503157.79,7408906.88,7364068.97,7155654.45,7452067.99,7925203.58,8304477.01,8670311.73,8970429.66,9041131.69,9089052.31,9034019.84,9029830.13,9005339.35,9016327.3,9871996.92,10011574.91,9938995.4,9685819.33,9279542.52,8568928.76,2023-12-17
21,Sistema,Sistema,8141201.25,7846622.91,7662996.23,7582449.49,7688918.53,7947625.39,8200133.22,8879320.93,9441638.66,9956295.36,10306349.9,10641589.82,10517653.28,10506929.35,10690765.1,10658177.09,10458902.09,10245747.14,10768113.47,10715314.31,10574275.93,10242723.27,9665575.55,9087992.6,2023-12-18
22,Sistema,Sistema,8594775.95,8291778.08,8042935.54,7955375.12,8047097.01,8248948.57,8395357.38,9000960.76,9525089.38,9856683.27,10142101.94,10461156.14,10437774.63,10464402.97,10582553.25,10580808.61,10387032.64,10237574.53,10931956.79,10874839.75,10820775.44,10160092.67,9543054.21,9011639.9,2023-12-19
23,Sistema,Sistema,8530769.2,8244604.33,8016423.89,7880969.76,7929340.96,8219888.28,8474905.03,9071019.54,9595824.31,9997339.52,10324129.16,10668678.45,10623782.39,10636947.43,10881720.8,10830462.81,10652480.48,10371271.45,10889362.01,10860527.29,10670869.69,10289205.65,9772491.27,9117423.66,2023-12-20
24,Sistema,Sistema,8591998.77,8266538.62,8056185.88,7939514.37,7989921.41,8204573.86,8365517.63,8904255.17,9446231.25,9772147.68,10127099.1,10393275.45,10380453.97,10566728.34,10742521.46,10763321.92,10617394.59,10553452.75,11008309.75,10943532.16,10783402.72,10411742.79,9687139.37,9068121.41,2023-12-21
25,Sistema,Sistema,8579733.71,8236683.05,8015857.59,7904216.4,7980302.92,8206305.52,8403223.74,8945856.54,9587443.84,9927967.08,10260791.41,10591527.15,10567308.0,10635587.78,10754024.19,10656955.78,10645566.46,10376118.07,10832648.72,10973604.23,10729031.74,10149705.91,9928702.71,9153734.83,2023-12-22
26,Sistema,Sistema,8618109.71,8279915.67,8049358.64,7904576.06,7899119.05,7947180.58,7918887.09,8373311.61,8901428.97,9277496.82,9612572.13,9756860.55,9743382.95,9677023.59,9576871.8,9542270.26,9406560.28,9375647.25,10303987.39,10176251.68,9887834.05,9598210.88,9208952.64,8686028.01,2023-12-23
27,Sistema,Sistema,8451483.2,8063644.1,7810904.04,7569030.31,7426798.59,7388254.89,7161516.26,7401477.9,7832223.43,8285830.09,8559663.42,8741037.2,8879525.45,8938842.59,8950292.55,8931722.5,8847175.6,8930949.66,9784951.93,9722886.91,9299793.17,8766819.1,8269251.53,7985251.79,2023-12-24
28,Sistema,Sistema,7768023.39,7652648.03,7484812.56,7317125.89,7224959.31,7132691.4,6782610.31,6787657.6,6992372.3,7301329.46,7585686.9,7919755.11,8094284.01,8171910.78,8125169.7,8077186.76,8022984.87,8101488.0,9091508.86,9212004.6,9036536.05,8767581.33,8457475.01,8062243.4,2023-12-25
29,Sistema,Sistema,7906039.92,7584964.38,7400902.63,7304223.12,7348101.89,7576918.55,7840286.65,8431666.39,9401060.74,9854624.83,10125400.33,10414475.36,10466125.1,10515669.83,10710319.3,10670875.13,10479039.11,10299323.69,10843001.83,10785294.09,10607211.25,10281816.73,9641518.41,9110244.29,2023-12-26
0,Sistema,Sistema,8544762.6,8281290.53,8078041.22,7953142.31,7957097.86,8041883.37,8224504.91,8759330.62,9270107.88,9612814.38,9959642.19,10120897.05,10107622.99,9974421.95,9845706.69,9761669.98,9639174.19,9704958.65,10250717.87,10065919.05,9667597.9,9255932.07,8709326.43,8254845.29,2023-10-28
1,Sistema,Sistema,7944042.82,7716623.63,7523301.95,7398781.19,7381073.47,7329212.66,7280061.67,7534782.29,7809019.5,8021728.26,8235420.92,8426571.91,8580367.66,8598381.75,8522660.39,8472562.32,8519617.26,8781417.5,9495600.45,9564116.47,9438546.59,9190721.12,8786613.07,8339029.57,2023-10-29
2,Sistema,Sistema,8009631.32,7778142.11,7647747.51,7560550.38,7775003.98,8251096.51,8501048.48,9082431.35,9608390.87,9929114.68,10335230.69,10592366.66,10257653.89,10558719.87,10778038.89,10756028.63,10573702.7,10506996.96,10959615.26,10936032.78,10691783.26,10190192.73,9503360.0,8907586.16,2023-10-30
3,Sistema,Sistema,8472306.3,8164394.84,7966580.05,7901201.76,8127883.48,8604806.1,8783900.64,9221551.15,9698673.7,9935395.92,10323079.59,10452828.01,10310495.83,10437104.5,10564098.43,10561080.89,10388572.09,10369369.0,10588486.81,10250466.0,10074739.1,9951221.8,9485599.46,8968265.87,2023-10-31
4,Sistema,Sistema,8599711.45,8382148.52,8210311.51,8114764.34,8220196.01,8617708.0,8737732.31,9168241.7,9605792.55,9863709.59,10179566.13,10394170.64,10343032.05,10265265.0,10342036.21,10347756.79,10261354.14,10369491.35,10768498.2,10683455.12,10418012.7,9924037.83,9205197.51,8614284.88,2023-11-01
5,Sistema,Sistema,8126729.26,7917141.93,7779923.17,7742881.41,7977941.45,8483440.06,8671337.82,9114294.11,9572113.6,9836450.17,10154201.02,10336040.67,10225978.84,10336622.5,10492341.36,10547153.45,10459144.61,10430762.07,10857137.35,10802418.06,10554258.77,10016473.09,9335521.19,8763943.3,2023-11-02
6,Sistema,Sistema,8333900.4,8055053.5,7890838.5,7852601.98,8045599.93,8516180.09,8724734.58,9198970.88,9628275.11,9888676.16,10238676.39,10451738.42,10367484.93,10505012.21,10690178.35,10630750.92,10499599.51,10572965.39,11018627.31,10948221.02,10713112.66,10230009.78,9593895.34,9087535.41,2023-11-03
7,Sistema,Sistema,8633838.65,8342375.48,8100618.63,7994140.94,7874936.61,7800498.7,7864588.4,8441263.16,9098132.06,9531058.16,9765256.81,9982470.74,9869751.44,9902777.89,9939749.17,9937482.44,9877834.57,9984644.07,10532199.33,10434799.72,10119545.3,9700226.52,9224835.91,8701649.62,2023-11-04
8,Sistema,Sistema,8055698.16,7768173.71,7543712.56,7359054.49,7292447.26,7213680.63,7081003.57,7385266.08,7811376.88,8269224.84,8681216.28,8886364.21,8971438.58,8998374.99,8951685.3,8823429.44,8775154.86,9066497.44,9775261.59,9799703.21,9655174.0,9385828.83,8992098.01,8567062.72,2023-11-05
9,Sistema,Sistema,8176131.56,7757294.4,7450404.92,7274029.25,7266342.99,7195165.71,7217502.1,7743650.72,8255730.77,8653849.13,8960802.39,9240867.55,9365488.43,9314592.03,9173265.9,9075344.07,9090895.05,9346208.57,10061266.37,10136536.22,9939826.88,9571154.59,9025868.73,8511098.0,2023-11-06
10,Sistema,Sistema,8175812.29,7876311.52,7722229.11,7742700.81,7983922.78,8501571.84,8601339.69,9088315.82,9559260.38,9892069.88,10241272.94,10494126.57,10464532.1,10665193.47,10879828.71,10967800.32,10798269.03,10707748.23,11182476.92,11156753.76,10911716.72,10333426.8,9680542.97,9089709.76,2023-11-07
11,Sistema,Sistema,8597233.2,8335652.06,8183456.08,8012800.2,8240770.1,8755211.95,8962863.48,9364502.82,9804668.11,10148169.86,10507303.61,10742670.41,10722551.29,10880709.63,11106625.77,11142824.41,10983853.67,10890747.34,11451759.64,11439702.95,11228397.27,10751718.47,10038058.53,9445758.87,2023-11-08
12,Sistema,Sistema,8763107.38,8467534.58,8239868.03,8226816.05,8439557.4,8783625.67,9039054.77,9557983.55,10019222.71,10336130.59,10654993.25,10942822.48,11091244.0,11210145.25,11398862.16,11419723.37,11090223.61,11156556.15,11580999.46,11526907.76,11344981.7,10840981.4,10188930.71,9534886.23,2023-11-09
13,Sistema,Sistema,9091159.63,8788310.5,8491847.68,8305347.86,8440262.03,8775961.85,8945853.67,9418726.13,9934856.95,10252025.97,10548627.11,10764644.5,10811318.46,10906446.29,11036525.4,11070988.62,10977113.61,10924229.07,11258073.38,11165340.98,11036619.65,10658028.53,10069487.17,9508023.23,2023-11-10
14,Sistema,Sistema,8964397.22,8524651.41,8223229.78,8091120.03,8080559.76,8155848.13,8324356.06,8874498.18,9464935.27,10028861.25,10344997.48,10433677.79,10326730.65,10255480.26,10227759.65,10116374.03,9940807.91,10142162.51,10814194.33,10674380.76,10271772.45,9936123.79,9387548.43,8920612.54,2023-11-11
15,Sistema,Sistema,8627427.85,8371085.88,8027097.75,7727120.82,7650290.41,7546196.6,7433652.07,7688418.09,8062824.21,8477319.97,8849890.45,9072905.34,9250833.41,9252036.04,9071269.06,8909496.74,8846953.94,9124617.79,9928750.37,9964578.39,9815139.39,9533713.59,9077369.21,8648275.76,2023-11-12
16,Sistema,Sistema,8113440.44,7714699.93,7510969.42,7339921.49,7342784.77,7267584.5,7277931.23,7750715.82,8203759.24,8693259.3,9178664.28,9517157.78,9666283.48,9625887.48,9447121.25,9324777.78,9292454.66,9617999.28,10425566.27,10527796.32,10394505.32,10057146.35,9524379.32,9005205.1,2023-11-13
17,Sistema,Sistema,8559578.64,8262938.34,7982549.23,8025420.11,8218268.4,8608048.5,8827834.04,9379999.46,9970216.84,10345896.39,10725732.07,11022638.4,10934094.5,11090894.56,11192801.84,11192021.84,11077113.76,11057467.32,11495489.75,11483703.78,11266108.56,10766404.42,10094401.56,9494945.08,2023-11-14
18,Sistema,Sistema,8726851.72,8564193.83,8445174.26,8410367.79,8474290.88,8668655.55,8781192.99,9413220.15,9993479.31,10236094.81,10566512.92,10835876.87,10627185.68,10570323.47,10712856.29,10673456.79,10510695.44,10446746.98,10985089.37,10951366.23,10722399.2,10243852.95,9573077.54,8976096.94,2023-11-15
19,Sistema,Sistema,8351091.38,8051458.64,7893674.69,7812236.24,8013664.42,8425938.11,8684649.22,9146054.89,9650017.2,9886050.51,10181450.46,10668041.93,10698725.55,10800824.63,11067642.54,11128620.25,10966416.83,10881330.18,11467794.03,11414681.59,11193103.12,10623192.08,9966055.05,9378958.06,2023-11-16
20,Sistema,Sistema,8753619.63,8413604.49,8183889.4,8091254.55,8231232.42,8572651.1,8846458.23,9377883.67,10188314.94,10533557.62,10834741.19,11114873.01,11059694.87,11156752.82,11328336.58,11306958.48,11123335.25,10996025.51,11438612.31,11283607.25,11020299.26,10369969.48,9785771.5,9218272.04,2023-11-17
21,Sistema,Sistema,8736738.0,8450676.5,8206268.95,8035016.02,8026081.1,8087493.27,8258396.58,8785204.58,9514387.39,9822268.96,10073014.35,10136737.19,10083839.36,10016630.66,10028788.63,9957914.46,9836532.32,10010452.91,10622448.04,10500201.94,10236994.21,9542039.09,9000527.68,8545134.18,2023-11-18
22,Sistema,Sistema,8199345.78,7902229.67,7655959.57,7447109.06,7384711.71,7223673.37,7097737.75,7341323.51,7910494.22,8190372.28,8464283.7,8712454.58,8779389.3,8652725.02,8727039.07,8777899.93,8759647.69,9061009.71,9737845.29,9756178.0,9364017.69,9033467.04,8629317.55,8117336.55,2023-11-19
23,Sistema,Sistema,7789022.66,7602927.18,7597903.26,7673855.85,7873727.07,8260939.02,8616249.65,9171371.65,9713577.93,10061195.75,10405827.66,10650226.78,10686450.25,10794966.68,10859971.27,10852392.56,10791881.95,10785134.17,11058782.67,10914042.1,10714425.88,10308785.08,9622769.39,8981134.39,2023-11-20
24,Sistema,Sistema,8478702.08,8228482.45,8055801.94,7944020.6,8121312.15,8608539.0,8905842.82,9456416.47,9865929.87,10177306.74,10436754.2,10633674.09,10688981.65,10777758.56,10983993.83,11016134.41,10868263.93,10848152.58,11422597.51,11297969.41,10929983.27,10471729.5,9852086.52,9200904.33,2023-11-21
25,Sistema,Sistema,8769696.07,8368598.42,8075740.51,7949874.06,8095601.04,8434747.87,8709589.77,9464416.47,9938456.9,10259130.2,10472635.73,10686449.54,10676128.16,10726797.19,10850568.26,10827419.12,10772000.04,10708422.26,11210945.81,11132522.15,10959011.83,10546700.07,9881340.82,9265109.87,2023-11-22
26,Sistema,Sistema,8806582.72,8466694.92,8172105.4,8110049.52,8231937.37,8533354.94,8812575.09,9487531.99,9982067.22,10318718.0,10704947.06,11037774.94,10976262.73,11112880.94,11269454.87,11242028.53,11087243.97,10847261.11,11261548.96,11150511.25,10972824.1,10642180.97,10090582.92,9559975.34,2023-11-23
27,Sistema,Sistema,8974192.06,8556678.54,8238402.81,8103618.44,8234602.61,8506975.64,8757708.75,9375847.68,9900131.52,10181825.0,10482394.94,10777051.6,10814367.16,10888200.58,10954186.35,10899388.49,10737256.58,10670074.86,11202308.5,11137520.21,10982764.31,10384952.59,9740430.16,9136361.42,2023-11-24
28,Sistema,Sistema,8524025.57,8184834.41,7946435.45,7848468.87,7812955.42,7962442.34,8141872.0,8646250.21,9119895.05,9520997.52,9785554.91,10004065.16,9924456.99,9796882.03,9692079.45,9594214.45,9507581.0,9612494.56,10225241.41,10126666.96,9851126.15,9460691.11,8970885.96,8511834.79,2023-11-25
29,Sistema,Sistema,8119854.94,7830193.36,7596953.26,7429284.9,7308768.03,7219045.67,7067600.57,7372309.87,7737808.75,8063479.54,8375675.06,8655581.66,8786884.45,8761884.92,8687221.39,8661299.04,8614274.32,8845151.04,9675013.55,9768073.38,9731562.81,9491174.36,9065325.95,8601355.06,2023-11-26
0,Sistema,Sistema,9230192.58,8941412.17,8676847.41,8549303.63,8662972.14,9087740.33,9239229.41,9728887.1,10177272.27,10514576.54,10801312.89,11056326.22,11020305.93,11154342.3,11322165.02,11368743.31,11191826.43,10899829.89,11420877.91,11451099.48,11246622.72,10769120.78,9964561.37,9410268.07,2023-09-28
1,Sistema,Sistema,8932552.84,8639849.63,8430639.37,8317987.48,8443501.23,8806273.8,9003166.71,9492235.71,10042651.49,10401770.99,10818322.87,11128354.8,11075001.93,11184892.75,11400359.51,11366676.98,11134657.48,10853430.38,11427851.39,11416142.55,11323799.49,10888723.82,10296354.18,9748023.86,2023-09-29
2,Sistema,Sistema,9174536.29,8865123.06,8648345.31,8498084.5,8611920.88,8681563.76,8898433.24,9404976.45,10023558.81,10414064.64,10683855.59,10860757.12,10850420.84,10729675.2,10628373.1,10572874.19,10453845.85,10466652.85,11101241.18,11015137.51,10708416.91,10347008.04,9877715.26,9393335.43,2023-09-30
3,Sistema,Sistema,8950226.01,8610232.95,8403826.72,8227702.74,8073591.64,7900834.54,7720962.51,8033198.09,8367092.01,8704112.8,9019431.48,9288358.48,9456677.53,9508764.47,9390249.45,9282596.01,9176127.96,9275470.92,10111427.06,10300776.5,10249394.41,10000763.16,9591077.72,9114866.49,2023-10-01
4,Sistema,Sistema,8752303.96,8474788.08,8305288.8,8225550.95,8399216.95,8794239.4,8985702.59,9517538.84,9933470.57,10311229.37,10755056.4,11056525.2,10887303.08,10991351.17,11135927.27,11158332.52,11028119.67,10837974.91,11295972.32,11304741.39,11080672.19,10569514.63,9954613.88,9329426.4,2023-10-02
5,Sistema,Sistema,8913513.49,8626738.51,8444027.71,8352218.29,8525304.41,8843668.81,8961789.41,9386491.15,9858071.47,10175264.07,10529191.92,10821269.72,10748596.56,10901148.17,11029646.14,11001436.61,10894040.46,10654635.63,11158410.11,11174500.59,10951602.24,10536464.43,9875107.55,9286714.6,2023-10-03
6,Sistema,Sistema,8765753.53,8450853.8,8234570.31,8120069.34,8263623.69,8733538.7,8868576.8,9319734.44,9731898.17,9913128.02,10146886.42,10475606.78,10354477.19,10485697.21,10852087.6,10829431.07,10746083.55,10592125.81,11216184.64,11257299.67,11031293.56,10540586.93,9893763.55,9276641.11,2023-10-04
7,Sistema,Sistema,8866800.72,8567877.53,8377666.55,8292161.36,8495636.67,8729281.39,8926528.25,9361143.19,9822887.03,10187660.05,10570728.81,10846564.14,10797770.54,10909946.61,11201221.36,11205802.52,10997548.04,10828839.3,11347376.69,11312659.46,11042721.61,10505763.88,9790056.88,9248584.05,2023-10-05
8,Sistema,Sistema,8807590.74,8505630.77,8323884.79,8270825.77,8426202.51,8657821.77,8877897.29,9351592.37,9851402.57,10135848.52,10547871.39,10798072.95,10772161.07,10756905.78,10878209.25,10900394.04,10744018.63,10600160.29,11087033.25,11070975.12,10870005.36,10432354.0,9866956.47,9287936.34,2023-10-06
9,Sistema,Sistema,8676423.62,8517653.63,8327157.19,8189436.39,8188792.97,8195482.13,8386169.69,8910713.5,9476801.92,9907613.28,10286147.28,10557791.78,10515530.06,10437779.55,10325607.4,10211920.39,10009253.17,9985057.59,10577652.75,10501250.43,10082083.5,9695963.01,9244930.9,8799182.78,2023-10-07
10,Sistema,Sistema,8466556.26,8209164.96,8019224.91,7819490.08,7669122.51,7531946.29,7315746.73,7627935.2,8096325.07,8308162.88,8600153.96,8811718.64,8786595.72,8719941.93,8529510.77,8479604.38,8495944.45,8690943.38,9521835.31,9672999.86,9596275.03,9331000.42,8877917.28,8433910.23,2023-10-08
11,Sistema,Sistema,8081876.24,7813953.58,7662090.14,7609448.91,7774781.79,8011265.05,8387666.21,9093815.34,9711238.02,10053563.35,10483854.7,10823802.71,10831187.58,10866051.54,10991136.97,10974438.89,10843569.22,10558852.11,11024690.24,11011637.63,10722680.8,10311940.71,9719699.97,9118836.93,2023-10-09
12,Sistema,Sistema,8646595.95,8373535.44,8196447.02,8089455.51,8204464.84,8402877.12,8662719.04,9360558.63,9950075.67,10266235.3,10666699.37,10956438.0,10850398.25,10932536.51,11046271.07,11075098.0,10895463.92,10716540.5,11231584.06,11212310.92,10957124.03,10487631.6,9683580.85,9033143.61,2023-10-10
13,Sistema,Sistema,8618183.05,8356426.3,8166910.59,8039008.67,8152846.53,8363997.35,8681974.51,9347507.36,9878834.45,10199458.4,10489513.48,10768208.89,10748939.56,10860957.44,11032210.62,11088027.99,10949087.05,10775503.26,11335320.69,11283524.75,11067283.0,10645192.81,10049523.16,9459950.19,2023-10-11
14,Sistema,Sistema,8997325.38,8675461.02,8465166.34,8356101.17,8482181.08,8646676.26,8894557.54,9585499.08,10162136.32,10533071.58,10925856.96,11240139.49,11164807.08,11153373.82,11310572.81,11322289.48,11178461.16,10998448.23,11378514.96,11296159.52,11005837.9,10594325.22,9952744.35,9422933.79,2023-10-12
15,Sistema,Sistema,8941797.98,8634610.84,8415082.65,8307255.97,8406534.01,8557899.75,8822881.93,9493219.03,10092222.86,10409790.75,10822660.88,11156004.41,11111161.92,11165450.75,11229768.56,11200375.24,10918550.98,10825748.1,11315889.02,11219365.63,10966015.8,10595091.93,10034034.8,9443550.85,2023-10-13
16,Sistema,Sistema,9022424.12,8735647.1,8504223.13,8355146.36,8356782.02,8337439.77,8363014.21,8817676.65,9441792.65,9781748.48,10054840.67,10314156.26,10299828.06,10187724.55,9918575.08,9755933.04,9673770.38,9797895.63,10442814.08,10351542.91,10031381.9,9826506.85,9358196.49,8896802.03,2023-10-14
17,Sistema,Sistema,8400134.13,8068638.11,7757788.84,7495052.52,7367466.85,7199300.89,7057853.92,7359616.47,7774582.48,8270113.7,8598903.52,8828086.89,8829242.91,8921981.2,8895512.33,8870139.86,8738537.55,8840722.41,9585046.73,9634157.02,9505532.29,9245526.2,8947682.37,8538928.01,2023-10-15
